position,username,language,rank,enlightenment,solved
1,Moff,Python,cardinal,1.906.19,213
2,Gintaras_S,C/C++,cardinal,1.901.72,213
3,Photon,C/C++,cardinal,1.883.93,212
4,Guy Gervais,VB,cardinal,1.870.92,211
5,Signum_X,C#,cardinal,1.867.56,211
6,dmgoldobin,Java,cardinal,1.860.11,209
7,goto,C/C++,cardinal,1.843.42,208
8,camel_case,C/C++,cardinal,1.842.57,210
9,openmind,Python,cardinal,1.825.12,209
10,MissPython,C/C++,cardinal,1.823.89,207
11,Taliesin2015,C#,cardinal,1.821.11,209
12,Vladimir_V,Java,cardinal,1.819.77,208
13,laurentypetit,Python,cardinal,1.810.94,207
14,Pythagoras,C#,cardinal,1.806.23,207
15,silentsoul,C#,frost enchanter,1.774.06,204
16,Quandray,C/C++,frost enchanter,1.772.67,203
17,Hennes,Haskell,frost enchanter,1.736.82,202
18,jpb_spargel,Python,frost enchanter,1.734.83,202
19,nicolas_patrois,Python,frost enchanter,1.685.62,198
20,Dmytro Pryhornytskyi,C/C++,frost enchanter,1.621.68,192
21,blue_meeny,Python,frost enchanter,1.615.35,191
22,bluknite,Scala,frost enchanter,1.612.24,192
23,asd654,C#,frost enchanter,1.601.49,191
24,gunsmoke,C/C++,frost enchanter,1.598.62,189
25,Eugene Lim,C/C++,frost enchanter,1.577.10,189
26,One_liner,Python,the doctor,1.569.87,184
27,Kenshin,Python,frost enchanter,1.564.31,187
28,abihle,Java,frost enchanter,1.562.48,188
29,TheUlit,Java,frost enchanter,1.548.46,185
30,igor_sekretarev,Python,frost enchanter,1.548.13,186
31,johnnycake,Other,the doctor,1.452.34,177
32,relativity,Java,the doctor,1.403.66,175
33,Absurdis,Python,the doctor,1.402.87,174
34,RandyWaterhouse,Python,the doctor,1.400.51,171
35,JimmyCarlos,Python,the doctor,1.395.67,172
36,JamBoltheads,Python,the doctor,1.389.76,174
37,DimonMIPT,C/C++,the doctor,1.371.94,171
38,matthias,JavaScript,the doctor,1.368.04,168
39,Tyro,Python,the doctor,1.349.25,169
40,Abhisek_,Python,the doctor,1.337.17,167
41,the_yato,Python,the doctor,1.332.72,167
42,jcgillet,Python,the doctor,1.332.22,169
43,Serenade,Java,the doctor,1.316.18,165
44,Mohamed Aziz,Python,the doctor,1.296.48,165
45,tonychamberlain,C#,the doctor,1.293.02,165
46,Mastermind,C#,stargazer,1.276.30,163
47,tapinov36,Python,stargazer,1.252.08,161
48,anna_swordy,Python,stargazer,1.246.47,160
49,Alex_Svyatov,Python,stargazer,1.235.87,159
50,OldProgrammer,C/C++,stargazer,1.231.73,157
